CHEMBL396628_8GUR
CHEMBL234675_8GUR
CHEMBL334533_6KPF
CHEMBL261495_8GUR
CHEMBL4578071_5ZTY
CHEMBL234897_8GUR
CHEMBL307696_6KPF
CHEMBL432107_6KPF
CHEMBL1800166_8GUQ
CHEMBL1277685_8GUR
CHEMBL4783200_5ZTY
CHEMBL331838_8GUR
CHEMBL4791274_5ZTY
CHEMBL2181544_8GUR
CHEMBL3911641_8GUQ
CHEMBL3669057_8GUS
CHEMBL3669102_8GUT
CHEMBL3950558_5ZTY
CHEMBL3354953_8GUQ
CHEMBL3669058_8GUS
CHEMBL3099056_8GUT
CHEMBL1259076_6KPF
CHEMBL2152808_5ZTY
CHEMBL4113646_8GUQ
CHEMBL4473677_5ZTY
CHEMBL3354964_8GUQ
CHEMBL4796229_5ZTY
CHEMBL5092703_6KPF
CHEMBL338484_6KPF
CHEMBL4588694_8GUS
CHEMBL4475022_6KPF
CHEMBL4760082_6KPF
CHEMBL3669059_8GUT
CHEMBL5077315_6KPF
CHEMBL4079650_5ZTY
CHEMBL3894398_8GUQ
CHEMBL4783221_5ZTY
CHEMBL1835216
CHEMBL1835131
CHEMBL1835135
CHEMBL1835220
CHEMBL1835213
CHEMBL1835215
CHEMBL1835218
